"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1.1. Soja","4432135.350487756","6454473.009763811","8401628.83730998","9638972.34465075","9971350.940806493","10538945.210230725","10940912.572432311","11022381.581796048","11449896.226859497","12112330.836639248","12409980.503767671","12687248.626282232","12830406.137452893","13196035.615161866","14280955.265827704","16005752.746186525","16033302.28602663","17415884.985622007","18462322.816438563","20014251.932836734","22383040.36097593","23032877.857151356","23088422.850952838","22506856.01965906","23168761.69628772","24446205.448700886","24734032.650097933","25934829.523727164","26368406.74419135","28315627.976619575","30797340.40693823","32481009.029738944","34842528.64195862","35882199.855755486","36659636.28022327","37088021.81885889","38111520.74548292","39357936.606777355","39873475.31045498"
"2.1. Café","494101.57742240216","601717.6893258014","628119.3164562949","637291.6451805948","630440.5606789584","601014.9177235032","560984.9336672481","540178.9130456465","543017.1796384816","544084.5382715255","560544.6001905501","572066.1701673744","579125.3128081884","601119.8831740676","678740.4208200733","757663.5917744954","782406.7684291137","785802.8689505542","771852.741138038","804102.8852387804","817766.4199602535","839323.6084426413","853058.1895182797","859045.1565202429","866306.6980192115","895743.4602505313","956385.4101139805","1021217.0543508931","1110108.4194374548","1174493.7695557661","1226367.539233492","1230291.1417162628","1224095.973473825","1224358.6987650767","1241505.6084368627","1255848.5221449942","1261987.246657354","1253887.6300433064","1258312.589869715"
"2.2. Citrus","39274.13012246726","33042.51621533848","30431.754247546556","32998.982213769916","33861.10294910923","36573.0349151309","37542.39613616971","41750.030912658964","51262.39418903826","63436.457728864465","69142.88698999069","74135.14091107821","83321.32537988925","88140.12965895949","101523.78147671594","115541.03871100237","118613.36525072291","128279.5831149674","133725.50448846558","144042.24908231353","151780.75343505977","156322.31954770067","163167.93142759008","163713.14411509107","167252.36121987674","176494.80642064477","187687.58316651275","195298.58960847","209535.4768939161","210985.17260815814","216393.0856631487","222081.0776878571","223726.7012881501","223027.14573177724","225117.57475587307","225597.36172244986","224844.48844358","228596.67235523873","228249.74549897647"
"2.3. Dendê","26138.219636193924","18112.530056561296","18731.402808624414","19486.343714123675","20108.61914280397","20902.53208236074","22129.24602690404","25561.622223779257","28716.943125128375","30744.786325922207","31141.93422700856","32227.39102188195","35056.69419170141","42258.5122843404","48245.94663910427","51673.17079160297","43244.861809479975","43963.49298127735","44473.22724062057","50297.02411220004","50634.41174920063","51605.45837964429","53643.711989122334","57026.49520529675","57922.711742669046","59768.516009386556","61068.96591871899","63492.542133257186","96528.32386488965","106964.39966365752","123996.05707281062","143114.04864009176","157311.11173573547","172757.89686314377","177885.01781678022","188906.1425406986","190875.41153494356","189696.88473063448","186437.11978088735"
"2.4. Outras Lavouras Perenes","167937.78027631235","185996.28514352435","120697.50732966304","90395.50101522151","94092.34465870315","88874.66166371961","86747.3486591847","93578.82019624485","100586.03580436336","116406.88574442024","126291.39518275765","135683.70501875613","142679.6670629404","152344.06894666288","213326.10063817992","241002.39422715138","269946.87695323717","286036.054073403","301760.37802842795","321818.83997792966","348118.4414144383","366846.05540898524","388139.92105992686","410939.73475352203","431747.2288388585","436955.9043688306","444284.3470511037","449656.9021494967","458887.04086918","452459.649371484","468997.08962313656","471844.3792125859","477064.2122107183","487746.07744950784","537102.6514685377","598282.580092679","598225.5413617768","594581.6766245514","594301.7602276581"
"Total","5159587.05794513","7293342.030505036","9199608.818152111","10419144.816774458","10749853.568236068","11286310.356615439","11648316.496921817","11723450.968174377","12173478.779616507","12867003.504709981","13197101.320357978","13501361.033401322","13670589.136895612","14079898.209225897","15322791.515401777","17171632.941690776","17247514.158469185","18659966.98474221","19714134.667334113","21334512.931247957","23751340.38753488","24446975.29893033","24546432.604947757","23997580.550253216","24691990.696108334","26015168.13575028","26383458.956348248","27664494.611969285","28243466.005256787","30260530.96781864","32833094.178530816","34548339.67699575","36924726.64066704","37990089.67456499","38841247.13270132","39356656.42535971","40387453.43348058","41624699.47053109","42140776.52583222"
